Date,Open,High,Low,Close,Adj Close,Volume
2015-01-02,154.216064,156.128113,153.919693,154.933075,108.148613,5779673
2015-01-05,154.177826,154.177826,152.189301,152.495224,106.446922,5104898
2015-01-06,152.648178,152.925430,148.346085,149.206497,104.151291,6429448
2015-01-07,150.286804,150.286804,147.256210,148.231354,103.470573,4918083
2015-01-08,149.369019,152.045883,148.709366,151.453156,105.719536,4431693
2015-01-09,151.453156,153.288712,150.334610,152.112808,106.179962,4694762
2015-01-12,152.007645,152.246658,148.910141,149.560226,104.398178,4380230
2015-01-13,150.344162,152.934998,148.833649,149.913956,104.645119,4578865
2015-01-14,148.049713,149.608032,146.978973,148.948380,103.971085,4906054
2015-01-15,149.799240,150.066925,147.380493,147.772461,103.150276,4443826
2015-01-16,147.055450,150.697891,147.055450,150.229446,104.865303,6020776
2015-01-20,149.808792,150.411087,147.256210,150.047806,104.738525,8778869
2015-01-21,146.300186,147.705551,144.426392,145.401535,101.495285,12444367
2015-01-22,145.258133,148.871887,145.086044,148.556412,103.697479,6401625
2015-01-23,148.212234,150.669220,148.078400,149.015289,104.017792,5057201
2015-01-26,151.300186,152.447418,148.919693,149.483749,104.344810,8250953
2015-01-27,148.126190,148.269592,145.879547,146.912048,102.549683,5919942
2015-01-28,147.227539,147.734222,144.885284,144.885284,101.134941,4702711
2015-01-29,144.722748,148.738052,142.944550,148.642441,103.757538,8703557
2015-01-30,147.141495,148.412994,146.309753,146.567871,102.309418,6865526
2015-02-02,147.227539,147.858505,144.847031,147.858505,103.210342,4928961
2015-02-03,147.944550,151.625244,147.944550,151.500961,105.752884,5794212
2015-02-04,150.296371,151.730408,149.808792,150.057358,104.745201,3847711
2015-02-05,150.372849,151.615677,150.238998,150.965576,105.379189,5495266
2015-02-06,150.420654,151.128113,149.359467,149.827911,105.318687,3406299
2015-02-09,149.139572,150.573608,148.565964,148.900574,104.666855,3198354
2015-02-10,149.847031,151.587006,148.260040,151.587006,106.555214,4644868
2015-02-11,150.822174,152.093689,150.258133,151.242828,106.313255,3793528
