Date,Open,High,Low,Close,Adj Close,Volume
2015-01-02,69.790001,70.360001,69.639999,70.040001,61.274757,683600
2015-01-05,68.300003,68.360001,67.059998,67.199997,58.790165,1678800
2015-01-06,65.930000,66.459999,65.360001,65.680000,57.460384,1478900
2015-01-07,64.980003,65.459999,64.599998,65.089996,56.944218,1483100
2015-01-08,64.510002,66.309998,64.500000,66.129997,57.854069,1184700
2015-01-09,65.230003,65.269997,64.419998,65.029999,56.891735,1142500
2015-01-12,65.760002,68.099998,65.480003,67.699997,59.227585,3279400
2015-01-13,67.099998,67.800003,66.419998,66.889999,58.518959,1707100
2015-01-14,66.680000,67.389999,66.309998,66.970001,58.588940,841200
2015-01-15,67.089996,67.480003,66.599998,66.879997,58.510204,1060900
2015-01-16,66.230003,67.239998,65.800003,67.110001,58.711430,1143700
2015-01-20,63.650002,63.759998,62.820000,63.560001,55.605698,2674100
2015-01-21,63.610001,64.129997,63.400002,64.080002,56.060623,2283800
2015-01-22,63.900002,64.620003,63.650002,64.349998,56.296825,1517800
2015-01-23,64.279999,65.059998,64.199997,64.519997,56.445557,1032700
2015-01-26,65.410004,66.410004,65.150002,66.099998,57.827824,1736100
2015-01-27,65.620003,65.919998,65.220001,65.500000,57.302910,1302100
2015-01-28,65.190002,65.330002,64.129997,64.190002,56.156853,981200
2015-01-29,65.010002,65.949997,64.900002,65.820000,57.582867,1354800
2015-01-30,65.629997,66.000000,65.199997,65.360001,57.180435,967900
2015-02-02,66.169998,67.019997,65.930000,66.949997,58.571453,1187300
2015-02-03,67.739998,68.419998,67.459999,68.379997,59.822495,1299500
2015-02-04,68.199997,68.230003,67.309998,67.389999,58.956383,1333800
2015-02-05,68.050003,68.739998,67.779999,68.709999,60.111198,1129300
2015-02-06,67.169998,67.400002,66.489998,66.669998,58.326488,2718100
2015-02-09,66.300003,66.709999,66.169998,66.309998,58.011536,1734800
2015-02-10,67.230003,67.470001,66.470001,67.330002,58.903893,1805900
2015-02-11,66.529999,67.040001,66.489998,66.839996,58.475216,874800
2015-02-12,68.669998,69.129997,68.589996,69.089996,60.443634,751700
